,country,population
0,Afghanistan,39074280
1,Albania,2877239
2,Algeria,43984569
4,Andorra,77287
5,Angola,33032075
7,Antigua and Barbuda,98069
8,Argentina,45267449
9,Armenia,2964219
11,Australia,25550683
12,Austria,9015361
13,Azerbaijan,10154978
14,Bahamas,393893
15,Bahrain,1711057
16,Bangladesh,164972348
17,Barbados,287437
18,Belarus,9448772
19,Belgium,11598451
20,Belize,398845
21,Benin,12175480
23,Bhutan,773069
24,Bolivia,11700207
25,Bosnia and Herzegovina,3277152
26,Botswana,2359585
27,Brazil,212821986
29,Brunei,438202
30,Bulgaria,6939018
31,Burkina Faso,20997293
32,Burma,54473253
33,Burundi,11948454
34,Cote d'Ivoire,26486282
35,Cabo Verde,557026
36,Cambodia,16758448
37,Cameroon,26655083
38,Canada,37799407
41,Central African Republic,4843954
42,Chad,16502877
44,Chile,19144605
45,China,1440297825
46,Colombia,50976248
47,Comoros,872695
48,Congo (Kinshasa),5540555
50,Costa Rica,5102158
51,Croatia,4100719
52,Cuba,11325391
54,Cyprus,1208886
55,Czechia,10712481
56,Denmark,5795780
57,Djibouti,990447
58,Dominica,72017
59,Dominican Republic,10866667
61,Ecuador,17688599
62,Egypt,102659126
63,El Salvador,6491923
64,Equatorial Guinea,1410419
65,Eritrea,3554797
66,Estonia,1326693
67,Eswatini,1162233
68,Ethiopia,115434444
71,Fiji,897573
72,Finland,5542237
73,France,65298930
76,Gabon,2234448
77,Gambia,2427782
78,Georgia,3987805
79,Germany,83830972
80,Ghana,31181428
82,Greece,10413936
84,Grenada,112614
87,Guatemala,17971382
88,Guinea,13191279
89,Guinea-Bissau,1975718
90,Guyana,787215
91,Haiti,11426356
92,Holy See,801
93,Honduras,9931333
95,Hungary,9655983
96,Iceland,341628
97,India,1382345085
98,Indonesia,274021604
99,Iran,84176929
100,Iraq,40372771
101,Ireland,4947267
103,Israel,8678517
104,Italy,60446035
105,Jamaica,2963429
106,Japan,126407422
107,Jordan,10220604
108,Kazakhstan,18815231
109,Kenya,53968739
110,Kiribati,119760
111,Kuwait,4281320
112,Kyrgyzstan,6542426
113,Laos,7293542
114,Latvia,1882408
115,Lebanon,6819976
116,Lesotho,2145194
117,Liberia,5077411
118,Libya,6887247
119,Liechtenstein,38147
120,Lithuania,2715340
121,Luxembourg,627704
123,Madagascar,27808395
124,Malawi,19211425
125,Malaysia,32436963
126,Maldives,542151
127,Mali,20346106
128,Malta,441750
129,Marshall Islands,59259
131,Mauritania,4669775
132,Mauritius,1272140
134,Mexico,129166028
135,Micronesia,115231
136,Moldova,4032294
137,Monaco,39290
138,Mongolia,3287242
139,Montenegro,628080
141,Morocco,36985624
142,Mozambique,31398811
143,Namibia,2548663
145,Nepal,29225196
146,Netherlands,17141544
148,New Zealand,4829021
149,Nicaragua,6638075
150,Niger,24346468
151,Nigeria,206984347
154,North Macedonia,2083359
156,Norway,5428594
157,Oman,5128058
158,Pakistan,221612785
160,Panama,4326296
161,Papua New Guinea,8975531
162,Paraguay,7147553
163,Peru,33050211
164,Philippines,109830324
165,Poland,37839255
166,Portugal,10191409
168,Qatar,2889284
170,Romania,19214608
171,Russia,145945524
172,Rwanda,13005303
175,Saint Kitts and Nevis,53264
176,Saint Lucia,183774
179,Samoa,198643
180,San Marino,33944
181,Sao Tome and Principe,219844
182,Saudi Arabia,34905942
183,Senegal,16816539
184,Serbia,8731081
185,Seychelles,98453
186,Sierra Leone,8004158
187,Singapore,5858322
189,Slovakia,5460109
190,Slovenia,2078989
191,Solomon Islands,689671
192,Somalia,15965848
193,South Africa,59436725
194,"Korea, South",51276977
195,South Sudan,11216250
196,Spain,46757980
197,Sri Lanka,21428970
198,Saint Vincent and the Grenadines,111002
200,Sudan,44019263
201,Suriname,587541
202,Sweden,10110233
203,Switzerland,8665615
204,Syria,17571053
205,Taiwan*,23824369
206,Tajikistan,9573310
207,Tanzania,60012400
208,Thailand,69830779
209,Timor-Leste,1322667
210,Togo,8310934
213,Trinidad and Tobago,1400283
214,Tunisia,11839918
215,Turkey,84495243
220,Uganda,45974931
221,Ukraine,43686577
222,United Arab Emirates,9910892
223,United Kingdom,67948282
224,US,331341050
225,Uruguay,3475842
226,Uzbekistan,33551824
227,Vanuatu,308337
228,Venezuela,28421581
229,Vietnam,97490013
232,Yemen,29935468
233,Zambia,18468257
234,Zimbabwe,14899771
